,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
51,-1.9449041396600215,-0.7971879307554952,-0.6011470942858056,-0.9881205357846625,1.2023615578571538,-2.1173041729264477,-1.389974106891642,1
52,-1.8224811813197206,-0.7934758550612854,-0.5935225472341803,-0.9701129431332957,1.1274592874280287,-2.0717505404759455,-1.3534387630822398,1
53,-1.7070100560324304,-0.7896925221833659,-0.5872332871113987,-0.9016840910581014,1.0523574514954113,-2.0264061702021388,-1.3290818672093045,1
54,-1.600258178981119,-0.7895695513170464,-0.5510080632473615,-0.7936385351499,0.9770884187630193,-1.9813053121870319,-1.2925465233999023,1
55,-1.5038751376698902,-0.7868766801162459,-0.5371049332365126,-0.6027580530454109,0.901685980557373,-1.9364829790777096,-1.2560111795904998,1
56,-1.418803553529662,-0.7734650495027511,-0.5114753773673892,-0.30023049650244704,0.8261232632570731,-1.8919246275875867,-1.2194758357810973,1
57,-1.3455147372758918,-0.7664217680991839,-0.5548975789381877,-0.2786213853208067,0.7506793937562658,-1.8478628304054139,-1.1829404919716948,1
63,0.3250460936661525,-0.38767637500156854,-0.33472319466874784,-0.8174559863514421,-0.4160829298835581,0.537440243052077,0.5220422191337538,2
64,0.3461372481829129,-0.37556830455974516,-0.3545808829060148,-0.7186978752013465,-0.42438348431509265,0.5509117665806008,0.5707560108796236,2
65,0.36699274734194476,-0.3685781857595558,-0.4152491412625384,-0.6790337359478531,-0.426112766488329,0.5640337733494158,0.6316482505619609,2
66,0.3876125911432463,-0.39192132696520277,-0.36445984937941983,-0.64188147309216,-0.4314158984862538,0.5768310933184274,0.6803620423078313,2
67,0.40799677958681924,-0.3554337419525375,-0.30312013179854574,-0.49339131211789367,-0.4339521790070004,0.5893433798716711,0.7412542819901686,2
68,0.42814531267266187,-0.3305771888256851,-0.23310826478001997,-0.4327453682378573,-0.43424039270253983,0.601565955905455,0.8021465216725061,2
69,0.44805819040077755,-0.30524962743757983,-0.16128608064097497,-0.31725840048169046,-0.4343425705677389,0.6135149290444109,0.8508603134183759,2
70,0.46773541277116293,-0.31280352665680994,-0.0775798106707387,-0.1364826686648336,-0.4372534536689122,0.6251858307253715,0.9117525531007133,2
71,0.4871769797838181,-0.2948603771246719,-0.03474037725450134,-0.05847411800276519,-0.4401654051782549,0.6365936139289743,0.9726447927830508,2
72,0.5065007191176097,-0.2250780943912133,-0.09097262478937818,0.15356083831199888,-0.4430745300606,0.6477357915111479,1.0335370324653883,2
73,0.5255888030936727,-0.23447662535631703,-0.001557864990367689,0.5497278766420707,-0.4459806193033754,0.658619652162094,1.1066077200841933,2
74,0.5445590593908689,-0.20201967241954108,0.06335469097888653,0.7658189884584734,-0.44883053679210216,0.6691908679499915,1.1674999597665308,2
75,0.5632936603303382,-0.19070657192958684,0.07981742408327384,0.9386918779115956,-0.451649604002144,0.679513179541766,1.2283921994488682,2
76,0.5819104335909423,-0.17497005597168772,0.10511194201844729,1.0863541376528043,-0.45446387798785803,0.682758733791315,1.301462887067673,2
77,0.6004093791726813,-0.18228010313911527,0.08200567412414618,1.2592270271059265,-0.4572846847981233,0.6860120006308765,1.3623551267500105,0
78,0.6186726693966916,-0.15866811924897198,0.10374584502385038,1.3796281005064954,-0.4589691277798197,0.6892661777753976,1.4354258143688154,0
84,0.0697135135666045,-0.5474511099037516,-0.7964405044968667,-1.02411879315797,-0.5438937463301925,0.4764227238622062,-0.22084310499076307,2
85,0.11578413600265507,-0.5496445353504428,-0.7789564334338939,-1.0122112853026444,-0.5439033507633826,0.4918776410861132,-0.1964862091178282,2
86,0.1525463718084044,-0.5558798167893918,-0.7548639739451088,-1.000351110980846,-0.5439084438452393,0.50823286525619,-0.15995086530842562,2
87,0.1803537040204463,-0.5631160074762654,-0.7247456030281588,-0.9061781658223158,-0.5439118275893104,0.5249766276979063,-0.13559396943549074,2
88,0.19979527103310307,-0.5446122807754212,-0.6952858500981987,-0.8945167604967041,-0.5442399075220015,0.5418465884094296,-0.09905862562608818,2
89,0.2131097987448008,-0.5182370792050784,-0.6518543088594675,-0.8817682931664945,-0.5445671067312816,0.5588393158479119,-0.06252328181668583,2
90,0.22371428984261194,-0.5003772161616741,-0.6023025820187189,-0.868125581606624,-0.5448933700530497,0.5759633698347604,-0.02598793800728328,2
91,0.235379230050206,-0.4743531700292603,-0.5433782856370929,-0.85409890513328,-0.545218743370926,0.5932118378482396,0.010547405802119277,2
92,0.2508146559814663,-0.4450115452456201,-0.5048146528672391,-0.8473011612509733,-0.5455431901970565,0.6105917727629723,0.059261197547989065,2
93,0.2710810167461741,-0.46783735096204493,-0.5603838028597348,-0.5199231268491231,-0.5458667377388142,0.6280977769592315,0.09579654135739162,2
94,0.296178312344331,-0.4696207421056059,-0.546149723802129,-0.17057582941260532,-0.546189370144446,0.6457333973306207,0.15668878103972908,2
95,0.32457478295069525,-0.45532942973711127,-0.5194114844478249,0.08153046770653127,-0.5465110874139515,0.6634990986895342,0.20540257278559884,2
96,0.3537960473091105,-0.4375593514245516,-0.45034080980447394,0.2796139868715672,-0.5468318894320456,0.681395324255614,0.27847326040440396,2
97,0.38160337952115236,-0.4188651523306934,-0.4260213063192183,0.43808080220359585,-0.5471520542673015,0.6994447572146516,0.33936550008674143,2
98,0.40717198583476655,-0.4102297420769915,-0.41564781575986137,0.8962950128222034,-0.5474719112326879,0.7161986011985487,0.4124361877055465,2
99,0.4300305555344958,-0.40355213598751355,-0.41911574975498245,1.0575720177916672,-0.5476029978538333,0.7225632551559672,0.4855068753243512,2
